Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
92018,1,2,143575.0,1093096.0,7613.0
92018,2,2,49565.0,91359.0,1843.0
92018,5,2,331069.0,2556478.0,7722.0
92018,7,2,676093.0,2349476.0,3475.0
102018,1,2,143575.0,1093096.0,7613.0
102018,2,2,49565.0,91359.0,1843.0
102018,5,2,331069.0,2556478.0,7722.0
102018,7,2,676093.0,2349476.0,3475.0
112018,1,2,143575.0,1093096.0,7613.0
112018,2,2,49565.0,91359.0,1843.0
112018,5,2,331069.0,2556478.0,7722.0
112018,7,2,676093.0,2349476.0,3475.0
122018,1,2,143575.0,1093096.0,7613.0
122018,2,2,49565.0,91359.0,1843.0
122018,5,2,331069.0,2556478.0,7722.0
122018,7,2,676093.0,2349476.0,3475.0
12019,1,2,142682.0,1093373.0,7663.0
12019,2,2,38885.0,77534.0,1994.0
12019,5,2,348428.0,2796975.0,8027.0
12019,7,2,654892.0,2331211.0,3560.0
22019,1,2,142682.0,1093373.0,7663.0
22019,2,2,38885.0,77534.0,1994.0
22019,5,2,348428.0,2796975.0,8027.0
22019,7,2,654892.0,2331211.0,3560.0
32019,1,2,143204.0,1076808.0,7519.0
32019,2,2,37380.0,75251.0,2013.0
32019,5,2,345555.0,2798996.0,8100.0
32019,7,2,663643.0,2326692.0,3506.0
42019,1,2,143204.0,1076808.0,7519.0
42019,2,2,37380.0,75251.0,2013.0
42019,5,2,345555.0,2798996.0,8100.0
42019,7,2,663643.0,2326692.0,3506.0
52019,1,2,143204.0,1076808.0,7519.0
52019,2,2,37380.0,75251.0,2013.0
52019,5,2,345555.0,2798996.0,8100.0
52019,7,2,663643.0,2326692.0,3506.0
62019,1,2,143204.0,1076808.0,7519.0
62019,2,2,37380.0,75251.0,2013.0
62019,5,2,345555.0,2798996.0,8100.0
62019,7,2,663643.0,2326692.0,3506.0
72019,1,2,143075.0,1062286.0,7425.0
72019,2,2,37054.0,72640.0,1960.0
72019,5,2,344469.0,2773257.0,8051.0
72019,7,2,664965.0,2418181.0,3637.0
