Data,Estado,Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
102017,2,16.1,188.2,841.6,2.2
092017,2,17.1,52.8,795.0,1.9
042018,2,17.0,38.0,805.9,1.4
082018,2,11.3,66.1,800.9,1.4
122018,2,21.6,151.1,942.4,2.5
022018,2,19.5,83.6,894.4,1.9
012018,2,20.2,253.1,893.5,2.2
072018,2,13.3,47.7,850.4,1.3
062018,2,13.1,92.4,854.9,1.6
052018,2,15.9,59.1,903.6,1.8
032018,2,19.3,164.7,850.5,1.5
112018,2,17.1,108.6,796.9,1.7
102018,2,15.2,170.2,744.2,1.7
092018,2,14.5,159.5,797.9,1.4
042019,2,18.5,125.5,894.4,1.9
082019,2,13.5,22.6,898.8,2.1
122019,2,19.3,80.6,851.3,1.9
022019,2,17.0,153.4,671.8,1.8
012019,2,22.3,174.3,893.5,2.3
072019,2,12.9,70.4,897.1,2.3
062019,2,15.5,35.0,897.4,2.3
052019,2,15.6,250.9,895.2,2.2
032019,2,17.5,123.2,851.4,2.1
112019,2,19.1,150.3,895.3,2.3
102019,2,18.7,152.5,896.8,2.3
092019,2,15.4,66.2,850.2,2.5
