Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
102021,2,1,152600.0,257000.0,1684.0,7.08,71.12,319.62,0.86
102021,3,1,272300.0,286000.0,1050.0,7.08,71.12,319.62,0.86
102021,4,1,1500.0,1100.0,733.0,7.08,71.12,319.62,0.86
102021,5,1,372500.0,3115200.0,8363.0,7.08,71.12,319.62,0.86
102021,6,1,2517800.0,5796200.0,2302.0,7.08,71.12,319.62,0.86
102021,7,1,5629100.0,19853900.0,3527.0,7.08,71.12,319.62,0.86
102021,8,1,1213100.0,3239400.0,2670.0,7.08,71.12,319.62,0.86
102021,9,1,65300.0,146700.0,2247.0,7.08,71.12,319.62,0.86
112021,1,1,21000.0,152500.0,7262.0,11.1,24.35,469.36,0.96
112021,2,1,152600.0,257000.0,1684.0,11.1,24.35,469.36,0.96
112021,3,1,272300.0,286000.0,1050.0,11.1,24.35,469.36,0.96
112021,4,1,1500.0,1100.0,733.0,11.1,24.35,469.36,0.96
112021,5,1,372700.0,3116800.0,8363.0,11.1,24.35,469.36,0.96
112021,6,1,2515100.0,5751400.0,2287.0,11.1,24.35,469.36,0.96
112021,7,1,5629000.0,19854000.0,3527.0,11.1,24.35,469.36,0.96
112021,8,1,1215500.0,3212200.0,2643.0,11.1,24.35,469.36,0.96
112021,9,1,65300.0,146700.0,2247.0,11.1,24.35,469.36,0.96
122021,1,1,21000.0,152500.0,7262.0,13.63,18.25,541.67,0.93
122021,2,1,152600.0,257000.0,1684.0,13.63,18.25,541.67,0.93
122021,3,1,272300.0,286000.0,1050.0,13.63,18.25,541.67,0.93
122021,4,1,1500.0,1100.0,733.0,13.63,18.25,541.67,0.93
122021,5,1,372700.0,3116800.0,8363.0,13.63,18.25,541.67,0.93
122021,6,1,2515100.0,5751400.0,2287.0,13.63,18.25,541.67,0.93
122021,7,1,5629000.0,19854000.0,3527.0,13.63,18.25,541.67,0.93
122021,8,1,1215500.0,3212200.0,2643.0,13.63,18.25,541.67,0.93
122021,9,1,65300.0,146700.0,2247.0,13.63,18.25,541.67,0.93
012022,1,1,21800.0,152700.0,7005.0,12.72,78.03,504.81,0.85
012022,2,1,141000.0,190400.0,1350.0,12.72,78.03,504.81,0.85
012022,3,1,263300.0,519600.0,1973.0,12.72,78.03,504.81,0.85
012022,4,1,1500.0,1100.0,733.0,12.72,78.03,504.81,0.85
012022,5,1,437500.0,2726600.0,6232.0,12.72,78.03,504.81,0.85
012022,6,1,2576300.0,15195300.0,5898.0,12.72,78.03,504.81,0.85
012022,7,1,5728800.0,13165100.0,2298.0,12.72,78.03,504.81,0.85
012022,8,1,1224300.0,3223500.0,2633.0,12.72,78.03,504.81,0.85
012022,9,1,69700.0,151500.0,2174.0,12.72,78.03,504.81,0.85
022022,1,1,21600.0,153200.0,7093.0,11.75,35.11,505.63,0.85
022022,2,1,140900.0,185800.0,1319.0,11.75,35.11,505.63,0.85
022022,3,1,271800.0,537000.0,1976.0,11.75,35.11,505.63,0.85
022022,4,1,1500.0,1100.0,733.0,11.75,35.11,505.63,0.85
022022,5,1,434200.0,2764600.0,6367.0,11.75,35.11,505.63,0.85
022022,6,1,2632000.0,15541400.0,5905.0,11.75,35.11,505.63,0.85
022022,7,1,5691600.0,11764900.0,2067.0,11.75,35.11,505.63,0.85
022022,8,1,1224200.0,3224100.0,2634.0,11.75,35.11,505.63,0.85
022022,9,1,69500.0,151100.0,2174.0,11.75,35.11,505.63,0.85
032022,1,1,21668.0,140738.0,6495.0,9.55,73.45,433.97,0.69
032022,2,1,139140.0,194959.0,1401.0,9.55,73.45,433.97,0.69
032022,3,1,294015.0,585578.0,1992.0,9.55,73.45,433.97,0.69
032022,4,1,1500.0,1100.0,733.0,9.55,73.45,433.97,0.69
