Unnamed: 0,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
338,fevereiro 2017,1.14 Milho (2 Safra),Parana,2281422,,13370101,5860
339,fevereiro 2017,1.15 Soja,Parana,5355174,,18809432,3512
340,fevereiro 2017,1.17 Trigo,Parana,1356958,,3869723,2852
341,fevereiro 2017,15 Fumo,Parana,77984,,183736,2356
342,marco 2017,1.4 Arroz,Parana,24876,,162716,6541
343,marco 2017,1.8 Feijao (1 Safra),Parana,197981,,361644,1827
344,marco 2017,1.9 Feijao (2 Safra),Parana,229660,,424341,1848
345,marco 2017,1.10 Feijao (3 Safra),Parana,3277,,3258,994
346,marco 2017,1.13 Milho (1 Safra),Parana,502747,,4609003,9168
347,marco 2017,1.14 Milho (2 Safra),Parana,2350592,,13665541,5814
348,marco 2017,1.15 Soja,Parana,5353745,,19234633,3593
349,marco 2017,1.17 Trigo,Parana,1048910,,3295429,3142
350,marco 2017,15 Fumo,Parana,77984,,184016,2360
351,abril 2017,1.4 Arroz,Parana,24876,,162716,6541
352,abril 2017,1.8 Feijao (1 Safra),Parana,197981,,361644,1827
353,abril 2017,1.9 Feijao (2 Safra),Parana,229660,,424341,1848
354,abril 2017,1.10 Feijao (3 Safra),Parana,3277,,3258,994
355,abril 2017,1.13 Milho (1 Safra),Parana,502806,,4646548,9241
356,abril 2017,1.14 Milho (2 Safra),Parana,2377932,,13877010,5836
357,abril 2017,1.15 Soja,Parana,5363973,,19584146,3651
358,abril 2017,1.17 Trigo,Parana,998980,,3149806,3153
359,abril 2017,15 Fumo,Parana,77984,,184016,2360
360,maio 2017,1.4 Arroz,Parana,25111,,163078,6494
361,maio 2017,1.8 Feijao (1 Safra),Parana,194051,,364687,1879
362,maio 2017,1.9 Feijao (2 Safra),Parana,237224,,412023,1737
363,maio 2017,1.10 Feijao (3 Safra),Parana,4265,,4394,1030
364,maio 2017,1.13 Milho (1 Safra),Parana,503606,,4765912,9464
365,maio 2017,1.14 Milho (2 Safra),Parana,2391542,,13827073,5782
366,maio 2017,1.15 Soja,Parana,5252733,,19536332,3719
367,maio 2017,1.17 Trigo,Parana,992470,,3119737,3143
368,maio 2017,15 Fumo,Parana,77514,,182897,2360
369,junho 2017,1.4 Arroz,Parana,25111,,163078,6494
370,junho 2017,1.8 Feijao (1 Safra),Parana,194051,,364687,1879
371,junho 2017,1.9 Feijao (2 Safra),Parana,237324,,355078,1496
372,junho 2017,1.10 Feijao (3 Safra),Parana,4595,,4798,1044
373,junho 2017,1.13 Milho (1 Safra),Parana,503606,,4765912,9464
374,junho 2017,1.14 Milho (2 Safra),Parana,2395682,,13864664,5787
375,junho 2017,1.15 Soja,Parana,5253033,,19618069,3735
376,junho 2017,1.17 Trigo,Parana,977320,,3068680,3140
377,junho 2017,15 Fumo,Parana,77514,,182897,2360
378,julho 2017,1.4 Arroz,Parana,25111,,163078,6494
379,julho 2017,1.8 Feijao (1 Safra),Parana,193434,,367848,1902
380,julho 2017,1.9 Feijao (2 Safra),Parana,246593,,338639,1373
381,julho 2017,1.10 Feijao (3 Safra),Parana,4444,,4532,1020
382,julho 2017,1.13 Milho (1 Safra),Parana,512533,,4889083,9539
383,julho 2017,1.14 Milho (2 Safra),Parana,2416021,,13714555,5677
